sanction_id,list_name,entity_name,risk_level
S-6043,FINCEN-314a,Oliver Brown,LOW
S-6044,PEP-LIST,Mia Martinez,LOW
S-6045,FINCEN-314a,Sophia Taylor,MEDIUM
S-6046,OFAC-SDN,Olivia Smith,MEDIUM
S-6047,OFAC-SDN,Ava Smith,HIGH
S-6048,FINCEN-314a,Harper Thomas,HIGH
S-6049,PEP-LIST,Isabella Johnson,LOW
S-6050,FINCEN-314a,Emma Miller,LOW
S-6051,PEP-LIST,Olivia Thomas,LOW
S-6052,OFAC-SDN,William Gonzalez,MEDIUM
S-6053,PEP-LIST,Harper Martinez,LOW
S-6054,OFAC-SDN,James Lopez,LOW
S-6055,FINCEN-314a,Alexander Garcia,HIGH
S-6056,OFAC-SDN,Amelia Moore,MEDIUM
S-6057,OFAC-SDN,Noah Lopez,LOW
S-6058,FINCEN-314a,Evelyn Jackson,LOW
S-6059,PEP-LIST,Evelyn Thomas,MEDIUM
S-6060,OFAC-SDN,Henry Rodriguez,MEDIUM
S-6061,OFAC-SDN,Benjamin Jackson,LOW
S-6062,OFAC-SDN,Mia Brown,LOW
S-6063,OFAC-SDN,Lucas Thomas,MEDIUM
S-6064,OFAC-SDN,Noah Lopez,MEDIUM
S-6065,PEP-LIST,Oliver Garcia,MEDIUM
S-6066,FINCEN-314a,Harper Garcia,HIGH
S-6067,FINCEN-314a,Charlotte Smith,MEDIUM
S-6068,PEP-LIST,Lucas Johnson,MEDIUM
S-6069,PEP-LIST,Ava Garcia,LOW
S-6070,PEP-LIST,Charlotte Davis,HIGH
S-6071,FINCEN-314a,Isabella Thomas,MEDIUM
S-6072,PEP-LIST,Ava Martinez,HIGH
S-6073,PEP-LIST,Harper Jackson,LOW
S-6074,OFAC-SDN,Elijah Garcia,MEDIUM
S-6075,PEP-LIST,Evelyn Johnson,MEDIUM
S-6076,OFAC-SDN,William Jones,MEDIUM
S-6077,OFAC-SDN,Lucas Johnson,LOW
S-6078,PEP-LIST,William Moore,MEDIUM
S-6079,FINCEN-314a,William Martinez,HIGH
S-6080,FINCEN-314a,Amelia Jones,MEDIUM
S-6081,FINCEN-314a,Benjamin Rodriguez,MEDIUM
S-6082,PEP-LIST,Evelyn Davis,MEDIUM
S-6083,OFAC-SDN,Henry Jones,MEDIUM
S-6084,FINCEN-314a,Oliver Garcia,MEDIUM
S-6085,OFAC-SDN,Sophia Lopez,MEDIUM
S-6086,FINCEN-314a,Elijah Jackson,MEDIUM
S-6087,OFAC-SDN,Amelia Lopez,MEDIUM
S-6088,OFAC-SDN,Henry Jones,MEDIUM
S-6089,FINCEN-314a,Charlotte Hernandez,HIGH
S-6090,FINCEN-314a,Isabella Brown,HIGH
S-6091,FINCEN-314a,Sophia Miller,LOW
S-6092,FINCEN-314a,Henry Gonzalez,LOW
S-6093,PEP-LIST,Benjamin Thomas,MEDIUM
S-6094,OFAC-SDN,Lucas Jackson,MEDIUM
S-6095,PEP-LIST,Alexander Lopez,LOW
S-6096,OFAC-SDN,Alexander Anderson,MEDIUM
S-6097,PEP-LIST,Mia Garcia,MEDIUM
S-6098,OFAC-SDN,Liam Jackson,LOW
S-6099,PEP-LIST,Harper Rodriguez,MEDIUM
S-6100,PEP-LIST,Benjamin Williams,MEDIUM
S-6101,OFAC-SDN,Elijah Rodriguez,MEDIUM
S-6102,PEP-LIST,William Lopez,MEDIUM
S-6103,OFAC-SDN,Olivia Garcia,HIGH
S-6104,OFAC-SDN,Benjamin Jackson,MEDIUM
S-6105,FINCEN-314a,Evelyn Martin,MEDIUM
S-6106,OFAC-SDN,Henry Johnson,MEDIUM
S-6107,FINCEN-314a,Sophia Wilson,HIGH
S-6108,OFAC-SDN,Harper Moore,MEDIUM
S-6109,FINCEN-314a,William Wilson,LOW
S-6110,OFAC-SDN,James Garcia,HIGH
S-6111,PEP-LIST,Alexander Taylor,HIGH
S-6112,FINCEN-314a,Charlotte Garcia,HIGH
S-6113,OFAC-SDN,Charlotte Anderson,HIGH
S-6114,OFAC-SDN,Ava Jones,MEDIUM
S-6115,FINCEN-314a,Emma Hernandez,HIGH
S-6116,OFAC-SDN,Harper Miller,MEDIUM
S-6117,OFAC-SDN,Alexander Johnson,MEDIUM
S-6118,OFAC-SDN,Isabella Hernandez,LOW
S-6119,OFAC-SDN,Amelia Williams,MEDIUM
S-6120,PEP-LIST,Alexander Garcia,HIGH
S-6121,OFAC-SDN,Emma Anderson,MEDIUM
S-6122,FINCEN-314a,Liam Garcia,MEDIUM
S-6123,OFAC-SDN,Benjamin Garcia,MEDIUM
S-6124,PEP-LIST,Mia Hernandez,LOW
S-6125,OFAC-SDN,Oliver Garcia,MEDIUM
S-6126,FINCEN-314a,William Miller,LOW
S-6127,PEP-LIST,Benjamin Jones,HIGH
S-6128,PEP-LIST,Olivia Wilson,MEDIUM
S-6129,OFAC-SDN,Lucas Jackson,HIGH
S-6130,OFAC-SDN,Alexander Wilson,MEDIUM
S-6131,OFAC-SDN,Alexander Lopez,MEDIUM
S-6132,OFAC-SDN,Charlotte Miller,HIGH
S-6133,OFAC-SDN,Liam Lopez,MEDIUM
S-6134,FINCEN-314a,Alexander Taylor,MEDIUM
S-6135,PEP-LIST,Charlotte Thomas,LOW
S-6136,FINCEN-314a,Oliver Brown,LOW
S-6137,FINCEN-314a,Sophia Anderson,MEDIUM
S-6138,PEP-LIST,Benjamin Taylor,LOW
S-6139,OFAC-SDN,Ava Johnson,MEDIUM
S-6140,PEP-LIST,Henry Miller,MEDIUM
S-6141,PEP-LIST,Oliver Jackson,HIGH
S-6142,PEP-LIST,Emma Johnson,LOW
S-6143,OFAC-SDN,Mia Wilson,LOW
S-6144,FINCEN-314a,Harper Martinez,MEDIUM
S-6145,OFAC-SDN,Harper Taylor,MEDIUM
S-6146,PEP-LIST,Benjamin Anderson,HIGH
S-6147,FINCEN-314a,Benjamin Jones,LOW
S-6148,PEP-LIST,James Thomas,MEDIUM
S-6149,FINCEN-314a,Benjamin Taylor,LOW
S-6150,OFAC-SDN,Benjamin Moore,LOW
S-6151,PEP-LIST,Evelyn Rodriguez,MEDIUM
S-6152,OFAC-SDN,Henry Hernandez,MEDIUM
S-6153,FINCEN-314a,Charlotte Moore,LOW
S-6154,PEP-LIST,Charlotte Martinez,MEDIUM
S-6155,PEP-LIST,Sophia Martinez,MEDIUM
S-6156,FINCEN-314a,Elijah Hernandez,LOW
S-6157,FINCEN-314a,James Williams,MEDIUM
S-6158,FINCEN-314a,William Martin,LOW
S-6159,PEP-LIST,Emma Gonzalez,HIGH
S-6160,OFAC-SDN,Charlotte Gonzalez,MEDIUM
S-6161,PEP-LIST,Oliver Taylor,LOW
S-6162,FINCEN-314a,Evelyn Garcia,MEDIUM
S-6163,OFAC-SDN,Liam Miller,MEDIUM
S-6164,OFAC-SDN,Elijah Hernandez,MEDIUM
S-6165,OFAC-SDN,Harper Hernandez,MEDIUM
S-6166,OFAC-SDN,Alexander Gonzalez,LOW
S-6167,OFAC-SDN,Evelyn Miller,MEDIUM
S-6168,FINCEN-314a,Harper Miller,MEDIUM
S-6169,PEP-LIST,Olivia Brown,MEDIUM
S-6170,FINCEN-314a,Mia Lopez,LOW
S-6171,PEP-LIST,Harper Rodriguez,LOW
S-6172,FINCEN-314a,Charlotte Johnson,LOW
S-6173,FINCEN-314a,Benjamin Wilson,LOW
S-6174,PEP-LIST,Alexander Martinez,LOW
S-6175,PEP-LIST,Evelyn Williams,MEDIUM
S-6176,FINCEN-314a,Harper Gonzalez,MEDIUM
S-6177,OFAC-SDN,Harper Lopez,MEDIUM
S-6178,FINCEN-314a,Oliver Jackson,MEDIUM
S-6179,PEP-LIST,William Jackson,LOW
S-6180,PEP-LIST,Lucas Miller,LOW
S-6181,FINCEN-314a,Noah Taylor,LOW
S-6182,FINCEN-314a,Lucas Rodriguez,LOW
S-6183,FINCEN-314a,Ava Johnson,LOW
S-6184,FINCEN-314a,Elijah Rodriguez,HIGH
S-6185,FINCEN-314a,Isabella Wilson,MEDIUM
S-6186,OFAC-SDN,Evelyn Wilson,LOW
S-6187,PEP-LIST,Isabella Jones,MEDIUM
S-6188,FINCEN-314a,Oliver Davis,LOW
S-6189,OFAC-SDN,Sophia Brown,MEDIUM
S-6190,PEP-LIST,Alexander Martinez,LOW
S-6191,PEP-LIST,Mia Martinez,MEDIUM
S-6192,FINCEN-314a,Elijah Lopez,LOW
S-6193,PEP-LIST,William Miller,LOW
S-6194,OFAC-SDN,Emma Wilson,MEDIUM
S-6195,FINCEN-314a,Oliver Davis,LOW
S-6196,FINCEN-314a,Emma Jones,MEDIUM
S-6197,PEP-LIST,Ava Johnson,LOW
S-6198,PEP-LIST,Sophia Taylor,LOW
S-6199,OFAC-SDN,Isabella Gonzalez,HIGH
S-6200,PEP-LIST,Henry Martinez,MEDIUM
