customer_id,name,dob,kyc_status,email,phone,address,city,state,zip,country
C-1015,Amelia Jones,2001-12-27,VERIFIED,amelia.jones686@yahoo.com,(307) 585-8395,"4016 Park Ln, Cincinnati, OH 45202",Cincinnati,OH,45202,United States
C-1016,Oliver Taylor,01/06/2003,PENDING,oliver.taylor7543@yahoo.com,(690) 900-5707,"1279 Washington Ave, Cleveland, OH 44114",Cleveland,OH,44114,United States
C-1017,ALexaNdER mArtIN,12/21/1966,VERIFIED,alexander.martin@gmail.com,5683359335,"3800 Park Ln, Nashville, TN 37203",Nashville,TN,37203,United States
C-1018,Liam Garcia,1999-02-10,VERIFIED,liam.garcia@outlook.com,4009301192,"6402 Washington Ave, New York, NY 10036",New York,NY,10036,United States
C-1019,Henry Johnson,1964-02-15,PENDING,henry.johnson@outlook.com,979-846-7554,"6741 Park Ln, Dallas, TX 75201",Dallas,TX,75201,United States
C-1020,Alexander Thomas,05/08/2004,VERIFIED,alexander.thomas@icloud.com,603-322-3741,"8154 Elm St, Chicago, IL 60604",Chicago,IL,60604,United States
C-1021,Sophia Wilson,02/22/2004,VERIFIED,sophia.wilson@yahoo.com,623-963-9587,"1026 Park Ln, Phoenix, AZ 85004",Phoenix,AZ,85004,United States
C-1022,James Taylor,05/17/1974,PENDING,james.taylor6967@gmail.com,(684) 801-9025,"8658 Park Ln, Denver, CO 80202",Denver,CO,80202,United States
C-1023,Elijah Davis,08/22/1968,VeRifieD,elijah.davis8593@gmail.com,(467) 428-1018,"4574 Cedar Blvd, Phoenix, AZ 85004",Phoenix,AZ,85004,United States
C-1024,Charlotte Taylor,01/28/2004,VERIFIED,charlotte.taylor6953@gmail.com,+1 234 912 6538,"120 Maple Ave, San Diego, CA 92101",San Diego,CA,92101,United States
C-1025,Benjamin Thomas,12/19/1982,PENDING,benjamin.thomas@icloud.com,+1 881 257 3398,"9776 Oak Rd, San Antonio, TX 78205",San Antonio,TX,78205,United States
C-1026,William Gonzalez,1983-03-10,VERIFIED,william.gonzalez@gmail.com,(539) 653-3773,"5977 Park Ln, Charlotte, NC 28202",Charlotte,NC,28202,United States
C-1027,Ava Johnson,1958-02-16,VERIFIED,ava.johnson@outlook.com,9649336185,"9767 Broadway, San Francisco, CA 94103",San Francisco,CA,94103,United States
C-1028,Lucas Brown,10/13/1996,VERIFIED,lucas.brown@gmail.com,3548214868,"9770 2nd Ave, Seattle, WA 98104",Seattle,WA,98104,United States
C-1029,William Davis,10/22/1960,VERIFIED,william.davis1580@hotmail.com,657-377-4837,"3859 Elm St, Columbus, OH 43215",Columbus,OH,43215,United States
C-1030,Elijah Martinez,01/25/1980,VERIFIED,elijah.martinez1062@hotmail.com,(719) 738-4790,"1686 Main St, San Jose, CA 95113",San Jose,CA,95113,United States
C-1031,Sophia Lopez,1981-05-07,VERIFIED,  sophia.lopez@outlook.com ,238-577-6570,"636 Washington Ave, Chicago, IL 60604",Chicago,IL,60604,United States
C-1032,Liam Hernandez,1988-05-10,VERIFIED,liam.hernandez@icloud.com,8683677517,"5049 Sunset Dr, Columbus, OH 43215",Columbus,OH,43215,United States
C-1033,harPEr LOPeZ,1992-05-12,VERIFIED,harper.lopez@yahoo.com,+1 694 522 1874,"2635 Broadway, Columbus, OH 43215",Columbus,OH,43215,United States
C-1034,Ava Martin,1972-08-05,VERIFIED,avA.MartIN3156@YaHOo.COM,3315678054,"8368 Broadway, Pittsburgh, PA 15222",Pittsburgh,PA,15222,United States
C-1035,Oliver Hernandez,11/20/2000,VerIFiEd,oliver.hernandez5750@yahoo.com,+1 531 828 5505,"7876 Pine St, Tampa, FL 33602",Tampa,FL,33602,United States
C-1036,Lucas Hernandez,04/21/1958,PENDING,luCas.HernANDEZ@GmaIl.com,950-201-1553,"7091 Sunset Dr, Jacksonville, FL 32202",Jacksonville,FL,32202,United States
C-1037,  James Thomas  ,1959-02-02,VERIFIED, james.thomas7781@yahoo.com ,661-298-2043,"6595 Maple Ave, San Diego, CA 92101",San Diego,CA,92101,United States
C-1038,Mia Lopez,11/24/2006,VERIFIED,mIa.LOpez2609@iclOud.cOM,(437) 859-1635,"4323 Main St, Detroit, MI 48226",Detroit,MI,48226,United States
C-1039,Isabella Taylor,1981-07-09,VERIFIED,isabella.taylor@yahoo.com,+1 598 536 4918,"8797 Park Ln, Dallas, TX 75201",Dallas,TX,75201,United States
C-1040,Liam Smith,1975-12-24,VERIFIED,liam.smith1748@gmail.com,(345) 917-1470,"708 2nd Ave, Columbus, OH 43215",Columbus,OH,43215,United States
C-1041,Harper Lopez,11/24/2002,VERIFIED,harper.lopez@gmail.com,302-335-2603,"4288 Main St, San Antonio, TX 78205",San Antonio,TX,78205,United States
C-1042,Noah Lopez,10/13/1983,VERIFIED,noah.lopez@icloud.com,(249) 750-4548,"7154 Main St, Cincinnati, OH 45202",Cincinnati,OH,45202,United States
C-1043,Noah Smith,1999-01-13,VERIFIED,noah.smith@hotmail.com,916-437-9164,"1335 Park Ln, Jacksonville, FL 32202",Jacksonville,FL,32202,United States
C-1044,Elijah Hernandez,1963-07-15,VERIFIED,elijah.hernandez@icloud.com,845-439-8551,"9928 Broadway, Jacksonville, FL 32202",Jacksonville,FL,32202,United States
C-1045,Amelia Jones,1995-05-26,VERIFIED,amelia.jones@outlook.com,396-473-5939,"5360 Washington Ave, Pittsburgh, PA 15222",Pittsburgh,PA,15222,United States
C-1046,Emma Miller,1964-02-18,VERIFIED,emma.miller1791@icloud.com,(411) 597-8600,"9574 Pine St, Dallas, TX 75201",Dallas,TX,75201,United States
C-1047,Sophia Wilson,04/23/1978,VERIFIED,sophiA.wiLSOn@IClOUD.cOM,+1 667 415 4011,"5834 Broadway, Austin, TX 78701",Austin,TX,78701,United States
C-1048,Ava Johnson,09/29/1961,PENDING,ava.johnson@hotmail.com,673-417-3695,"3174 Park Ln, New York, NY 10036",New York,NY,10036,United States
C-1049,James Lopez,1992-01-29,VERIFIED,james.lopez@icloud.com,6932025607,"7866 Park Ln, Miami, FL 33131",Miami,FL,33131,United States
C-1050,Olivia Jones,03/14/1982,VERIFIED,olivia.jones@gmail.com,500-456-2663,"7414 Cedar Blvd, Cincinnati, OH 45202",Cincinnati,OH,45202,United States
C-1051,Ava Moore,2009-09-06,VERIFIED,ava.moore@yahoo.com,(649) 887-2916,"2292 Park Ln, Philadelphia, PA 19106",Philadelphia,PA,19106,United States
C-1052,Sophia Jones,1999-01-31,VERIFIED,sophia.jones@outlook.com,8922773957,"9998 Main St, Atlanta, GA 30303",Atlanta,GA,30303,United States
C-1053,Emma Brown,1998-06-09,VERIFIED,emma.brown@outlook.com,4154908130,"4747 Maple Ave, Denver, CO 80202",Denver,CO,80202,United States
C-1054,Emma Taylor,06/07/2000,VERIFIED,emma.taylor@hotmail.com,(608) 940-7652,"770 Pine St, Dallas, TX 75201",Dallas,TX,75201,United States
C-1055,Noah Taylor,2003-10-10,VERIFIED,noah.taylor@gmail.com,3038711219,"5078 Elm St, Cincinnati, OH 45202",Cincinnati,OH,45202,United States
C-1056,William Wilson,1983-07-28,VERIFIED,william.wilson@icloud.com,214-896-7342,"1681 2nd Ave, Chicago, IL 60604",Chicago,IL,60604,United States
C-1057,jamES SmIth,1955-06-06,VERIFIED,james.smith@icloud.com,(253) 934-1523,"1315 Sunset Dr, Columbus, OH 43215",Columbus,OH,43215,United States
C-1058,William Thomas,05/12/1960,VERIFIED,william.thomas@yahoo.com,6634786470,"9838 Cedar Blvd, Detroit, MI 48226",Detroit,MI,48226,United States
C-1059,Liam Jones,1982-09-08,VERIFIED,liam.jones28@icloud.com,3618001692,"9380 Oak Rd, Detroit, MI 48226",Detroit,MI,48226,United States
C-1060,Mia Thomas,12/16/2002,VERIFIED,mia.thomas6480@hotmail.com,+1 460 800 1153,"5828 2nd Ave, Jacksonville, FL 32202",Jacksonville,FL,32202,United States
C-1061,Henry Taylor,1997-10-03,PENDING,henry.taylor@hotmail.com,4522459081,"7602 2nd Ave, Austin, TX 78701",Austin,TX,78701,United States
C-1062,  Olivia Rodriguez ,06/20/2009,VERIFIED,olivia.rodriguez@hotmail.com,238-546-4293,"580 Elm St, Denver, CO 80202",Denver,CO,80202,United States
C-1063,Charlotte Williams,2008-08-27,VERIFIED,charlotte.williams@hotmail.com,440-938-4632,"5777 Main St, Pittsburgh, PA 15222",Pittsburgh,PA,15222,United States
C-1064,Noah Rodriguez,01/19/2001,VERIFIED,noah.rodriguez@outlook.com,6825317089,"6230 Oak Rd, St. Petersburg, FL 33701",St. Petersburg,FL,33701,United States
C-1065,Liam Anderson,1972-07-03,VERIFIED,liam.anderson@icloud.com,+1 222 843 2231,"3841 Park Ln, Atlanta, GA 30303",Atlanta,GA,30303,United States
C-1066,Emma Davis,1960-02-02,VERIFIED,emma.davis4859@gmail.com,+1 702 311 6211,"8422 Main St, Minneapolis, MN 55415",Minneapolis,MN,55415,United States
C-1067,Benjamin Moore,09/05/1980,BLOCKED,bEnJaMIN.mOOrE2658@ICLoUD.com,+1 407 210 2076,"8504 Cedar Blvd, Seattle, WA 98104",Seattle,WA,98104,United States
C-1068,Charlotte Williams,09/28/1991,PENDING,charlotte.williams@outlook.com,(656) 728-2168,"5268 Sunset Dr, New York, NY 10036",New York,NY,10036,United States
C-1069, Alexander Brown ,1999-05-23,PENDING, alexander.brown@outlook.com  ,218-813-8601,"1548 Oak Rd, Minneapolis, MN 55415",Minneapolis,MN,55415,United States
C-1070,Charlotte Jackson,1980-02-01,VERIFIED,charlotte.jackson@icloud.com,(850) 598-7889,"5961 Cedar Blvd, Denver, CO 80202",Denver,CO,80202,United States
C-1071,Isabella Jackson,1983-10-07,PENDING,ISABeLLA.JAckSon@iclOUD.COM,3703231988,"2441 Park Ln, St. Petersburg, FL 33701",St. Petersburg,FL,33701,United States
C-1072,Alexander Wilson,11/12/1980,VERIFIED,alexander.wilson@yahoo.com,+1 510 827 8829,"5476 Pine St, Nashville, TN 37203",Nashville,TN,37203,United States
C-1073,Harper Gonzalez,08/21/1986,VERIFIED,harper.gonzalez357@outlook.com,+1 556 650 2016,"1799 Elm St, New York, NY 10036",New York,NY,10036,United States
C-1074,James Wilson,08/15/1986,VERIFIED,james.wilson2086@icloud.com,+1 620 984 2924,"2461 Sunset Dr, Austin, TX 78701",Austin,TX,78701,United States
C-1075,Evelyn Martin,01/19/1989,VERIFIED,evELyn.MArTin@IcloUD.CoM,+1 647 729 9474,"9753 Broadway, Houston, TX 77002",Houston,TX,77002,United States
C-1076,Oliver Taylor,1963-11-17,VERIFIED,oliver.taylor@hotmail.com,9642943797,"5099 Elm St, San Diego, CA 92101",San Diego,CA,92101,United States
C-1077,Alexander Hernandez,2000-08-26,VERIFIED,alexander.hernandez9257@icloud.com,+1 846 851 1693,"9868 2nd Ave, Orlando, FL 32801",Orlando,FL,32801,United States
C-1078,Amelia Brown,12/25/1963,VERIFIED,amelia.brown@gmail.com,443-562-5512,"9549 2nd Ave, New York, NY 10036",New York,NY,10036,United States
C-1079,Ava Smith,1974-09-28,VERIFIED,ava.smith@hotmail.com,6665107854,"1116 Pine St, Chicago, IL 60604",Chicago,IL,60604,United States
C-1080,Harper Davis,1982-09-26,VERIFIED,harper.davis4763@yahoo.com,5437467317,"2029 Sunset Dr, Columbus, OH 43215",Columbus,OH,43215,United States
C-1081,Lucas Gonzalez, 1996-11-24 ,VERIFIED,lucas.gonzalez@outlook.com,6784453608,"6185 Broadway, San Antonio, TX 78205",San Antonio,TX,78205,United States
C-1082,Charlotte Taylor,05/23/1975,VERIFIED,charlotte.taylor@icloud.com,(325) 894-9405,"6314 Main St, San Antonio, TX 78205",San Antonio,TX,78205,United States
C-1083,Alexander Smith,1962-09-20,VERIFIED,alexander.smith@outlook.com,935-518-2440,"6546 Maple Ave, San Francisco, CA 94103",San Francisco,CA,94103,United States
C-1084,Sophia Jones,  10/23/1979 ,VERIFIED,sophia.jones1888@gmail.com,+1 424 929 1662,"3255 Maple Ave, Cincinnati, OH 45202",Cincinnati,OH,45202,United States
C-1085,Mia Martinez,02/13/1971,PENDING,mia.martinez@outlook.com,(871) 493-1703,"618 Cedar Blvd, Portland, OR 97204",Portland,OR,97204,United States
C-1086,Oliver Wilson,1990-04-25,VERIFIED,oliver.wilson@outlook.com,(843) 840-8418,"8396 Oak Rd, Atlanta, GA 30303",Atlanta,GA,30303,United States
C-1087,Mia Rodriguez,2004-01-08,VERIFIED,mia.rodriguez5089@icloud.com,  698-886-8909 ,"5768 Maple Ave, Philadelphia, PA 19106",Philadelphia,PA,19106,United States
C-1088,Harper Jackson,12/04/1984,VERIFIED,harper.jackson@icloud.com,9064961202,"4611 Maple Ave, San Diego, CA 92101",San Diego,CA,92101,United States
C-1089,Sophia Brown,02/10/1984,peNdinG,sophia.brown@icloud.com,5672935685,"463 Main St, Philadelphia, PA 19106",Philadelphia,PA,19106,United States
C-1090,Alexander Lopez,2002-02-20,VERIFIED,alexander.lopez5837@icloud.com,764-578-5154,"6616 Main St, Philadelphia, PA 19106",Philadelphia,PA,19106,United States
C-1091,Charlotte Garcia,2009-01-23,PENDING,charlotte.garcia@gmail.com,+1 581 202 1524,"916 Elm St, San Jose, CA 95113",San Jose,CA,95113,United States
C-1092,Oliver Anderson,10/25/1970,PENDING,oliver.anderson@gmail.com,7787847899,"4913 Cedar Blvd, New York, NY 10036",New York,NY,10036,United States
C-1093,Benjamin Davis,02/18/1995,VERIFIED,benjamin.davis@icloud.com,407-761-2839,"1565 Pine St, Miami, FL 33131",Miami,FL,33131,United States
C-1094,Charlotte Davis,1996-02-07,PENDING,charlotte.davis@gmail.com,(719) 931-2877,"8927 Oak Rd, Boston, MA 02108",Boston,MA,02108,United States
C-1095,Charlotte Williams,1988-06-30,VERIFIED,charlotte.williams2222@icloud.com,8364062879,"5603 BrOADwAy, pHoEnIX, az 85004",Phoenix,AZ,85004,United States
C-1096,Sophia Smith,09/18/1985,VERIFIED,sophia.smith@hotmail.com,(659) 602-4755,"5109 Oak Rd, New York, NY 10036",New York,NY,10036,United States
C-1097,William Lopez,12/18/1996,PENDING,william.lopez@yahoo.com,3499443353,"4303 Cedar Blvd, Minneapolis, MN 55415",Minneapolis,MN,55415,United States
C-1098,James Johnson,2005-04-18,VERIFIED,james.johnson@outlook.com,3448972180,"5951 Elm St, Cincinnati, OH 45202",Cincinnati,OH,45202,United States
C-1099,Mia Gonzalez,06/03/1960,VERIFIED,mia.gonzalez119@yahoo.com,6146567489,"2366 Maple Ave, Austin, TX 78701",Austin,TX,78701,United States
C-1100,Harper Moore,1985-07-18,VERIFIED,harper.moore@icloud.com,5263795519,"4401 Pine St, Miami, FL 33131",Miami,FL,33131,United States
C-1101,Ava Anderson,2009-02-01,VERIFIED,ava.anderson9429@gmail.com,(392) 477-9797,"3487 Cedar Blvd, San Antonio, TX 78205",San Antonio,TX,78205,United States
C-1102,Charlotte Gonzalez,1985-04-21,VERIFIED,charlotte.gonzalez7592@icloud.com,(524) 777-6135,"5403 Oak Rd, Detroit, MI 48226",Detroit,MI,48226,United States
C-1103,James Taylor,01/23/1963,PENDING,james.taylor@hotmail.com,9286891518,"7434 Elm St, Tampa, FL 33602",Tampa,FL,33602,United States
C-1104,Henry Jones,10/24/1955,VERIFIED,henry.jones@gmail.com,4097683978,"2456 Oak Rd, Dallas, TX 75201",Dallas,TX,75201,United States
C-1105,William Taylor,06/22/1986,VERIFIED,william.taylor@yahoo.com,+1 950 215 2072,"3747 Washington Ave, New York, NY 10036",New York,NY,10036,United States
C-1106,Ava Davis,1977-08-08,VERIFIED,ava.davis@outlook.com,360-688-5379,"5441 Main St, New York, NY 10036",New York,NY,10036,United States
C-1107,William Hernandez,2009-09-30,PENDING,william.hernandez2291@icloud.com,(225) 314-3489,"8245 Cedar Blvd, Miami, FL 33131",Miami,FL,33131,United States
C-1108,Ava Williams,06/18/1985,VERIFIED,ava.williams8271@gmail.com,(915) 307-1326,"1817 2nd Ave, Columbus, OH 43215",Columbus,OH,43215,United States
C-1109,Amelia Wilson,1971-01-21,VERIFIED,amelia.wilson@yahoo.com,(274) 479-3903,"717 Pine St, New York, NY 10036",New York,NY,10036,United States
C-1110,  Mia Lopez  ,12/14/1955,VERIFIED,mia.lopez@icloud.com,+1 354 596 7314,"96 Pine St, Dallas, TX 75201",Dallas,TX,75201,United States
C-1111,Henry Martin,1988-10-26,VERIFIED,henry.martin@icloud.com,  +1 762 884 6171  ,"9714 Elm St, Minneapolis, MN 55415",Minneapolis,MN,55415,United States
C-1112,Ava Lopez,10/02/1960,VERIFIED,ava.lopez7755@outlook.com,803-688-4624,"5975 Elm St, Atlanta, GA 30303",Atlanta,GA,30303,United States
C-1113,Olivia Davis,1970-06-18,VERIFIED,olivia.davis@gmail.com,638-325-7717,"5986 Cedar Blvd, Miami, FL 33131",Miami,FL,33131,United States
C-1114,Alexander Anderson,11/23/1962,VERIFIED,alexander.anderson2139@hotmail.com,4438377074,"9122 PINe ST, miaMI, Fl 33131",Miami,FL,33131,United States
C-1115,Harper Lopez,03/23/1973,PENDING,harper.lopez9233@gmail.com,646-624-8759,"8058 Oak Rd, Los Angeles, CA 90012",Los Angeles,CA,90012,United States
C-1116,Lucas Miller,08/06/2003,PENDING,LuCAs.MilleR@GmAIl.coM,+1 879 505 7468,"4081 Sunset Dr, San Francisco, CA 94103",San Francisco,CA,94103,United States
C-1117,Henry Martinez,10/27/1966,VERIFIED,henry.martinez9112@outlook.com,+1 208 745 2108,"588 Maple Ave, San Antonio, TX 78205",San Antonio,TX,78205,United States
C-1118,Benjamin Miller,02/13/2008,VERIFIED,benjamin.miller1179@gmail.com,+1 214 938 3689,"4841 Pine St, St. Petersburg, FL 33701",St. Petersburg,FL,33701,United States
C-1119,Benjamin Taylor,1996-10-10,VERIFIED,benjamin.taylor929@icloud.com,363-657-5810,"9194 Oak Rd, Houston, TX 77002",Houston,TX,77002,United States
C-1120,  Mia Miller ,09/16/1975,VERIFIED,mia.miller@yahoo.com,(560) 325-4448,"8145 2nd Ave, Phoenix, AZ 85004",Phoenix,AZ,85004,United States
C-1121,Alexander Martin,07/06/2003,VERIFIED, alexander.martin9811@outlook.com ,872-507-1820,"4063 Cedar Blvd, Nashville, TN 37203",Nashville,TN,37203,United States
C-1122,Alexander Williams,2005-03-02,VERIFIED,alexander.williams@hotmail.com,(625) 791-6781,"2695 Cedar Blvd, Minneapolis, MN 55415",Minneapolis,MN,55415,United States
C-1123,Emma Smith,1998-01-31,VERIFIED,emma.smith@gmail.com,2437185198,"9107 Pine St, Orlando, FL 32801",Orlando,FL,32801,United States
C-1124,mIa tAyLOR,1963-07-10,PENDING,mia.taylor8405@yahoo.com,(451) 274-6526,"2872 Maple Ave, San Diego, CA 92101",San Diego,CA,92101,United States
C-1125,sOPHIa JACKSOn,05/27/1971,PENDING,sophia.jackson@hotmail.com,5746212513,"8080 Broadway, Cincinnati, OH 45202",Cincinnati,OH,45202,United States
C-1126,Henry Martinez,1959-09-26,VERIFIED,henry.martinez@outlook.com,8473182114,"3943 Pine St, Cleveland, OH 44114",Cleveland,OH,44114,United States
C-1127,Charlotte Jackson,07/04/1959,VERIFIED,charlotte.jackson@outlook.com,+1 512 204 5922,"7798 Sunset Dr, Cincinnati, OH 45202",Cincinnati,OH,45202,United States
C-1128,James Hernandez,03/03/1974,PENDING,james.hernandez@icloud.com,+1 421 899 1680,"4457 Cedar Blvd, Boston, MA 02108",Boston,MA,02108,United States
C-1129,Lucas Lopez,09/30/2009,BLOCKED,lucas.lopez@yahoo.com,(209) 200-3872,"4119 Cedar Blvd, Cleveland, OH 44114",Cleveland,OH,44114,United States
C-1130,Amelia Gonzalez,09/23/1977,VERIFIED,amelia.gonzalez@icloud.com, 8707109082  ,"7345 Maple Ave, Phoenix, AZ 85004",Phoenix,AZ,85004,United States
C-1131,  Evelyn Anderson ,1984-03-05,VERIFIED,evelyn.anderson@hotmail.com,(498) 991-9917,"1391 Broadway, Chicago, IL 60604",Chicago,IL,60604,United States
C-1132,Olivia Rodriguez,1969-07-10,PENDING,olivia.rodriguez8529@gmail.com,+1 254 801 5876,"3076 Maple Ave, Austin, TX 78701",Austin,TX,78701,United States
C-1133,Benjamin Martin,04/28/1994,PENDING,benjamin.martin@yahoo.com,6188523618,"8786 Park Ln, Austin, TX 78701",Austin,TX,78701,United States
C-1134,Isabella Williams,02/19/1990,  VERIFIED  ,isabella.williams@hotmail.com,+1 271 761 2579,"5039 Oak Rd, Dallas, TX 75201",Dallas,TX,75201,United States
C-1135,Elijah Gonzalez,08/29/1985,VERIFIED,elijah.gonzalez@hotmail.com, +1 418 546 2080  ,"6623 Pine St, San Francisco, CA 94103",San Francisco,CA,94103,United States
C-1136,James Jones,1976-06-01,VERIFIED,james.jones@yahoo.com,4819292102,"5076 2nd Ave, San Diego, CA 92101",San Diego,CA,92101,United States
C-1137,Oliver Lopez,05/28/2001,PENDING,oliver.lopez7303@hotmail.com,+1 233 240 9812,"5582 Cedar Blvd, New York, NY 10036",New York,NY,10036,United States
C-1138, Mia Miller ,10/24/2006,VERIFIED,mia.miller6395@hotmail.com,4318821896,"4134 2nd Ave, San Jose, CA 95113",San Jose,CA,95113,United States
C-1139,Isabella Anderson,1995-10-16,VERIFIED,isabella.anderson3240@hotmail.com,(471) 406-5853,"268 2nd Ave, Miami, FL 33131",Miami,FL,33131,United States
C-1140,Mia Rodriguez,11/19/1986,PENDING,miA.RoDRIGuez@OUTloOK.com,(647) 337-3266,"8714 sunSeT dR, bOstOn, ma 02108",Boston,MA,02108,United States
C-1141,Charlotte Thomas,09/20/1967,VERIFIED,charlotte.thomas@icloud.com,956-959-1627,"25 Main St, Detroit, MI 48226",Detroit,MI,48226,United States
C-1142,Lucas Johnson,11/24/2004,VERIFIED,lucas.johnson8669@gmail.com,(308) 722-7252,"1412 Elm St, Cincinnati, OH 45202",Cincinnati,OH,45202,United States
C-1143,Mia Williams, 11/13/1959 ,VERIFIED,mia.williams3394@icloud.com,8272889947,"3924 2nd Ave, Atlanta, GA 30303",Atlanta,GA,30303,United States
C-1144,Alexander Martinez,1999-05-01,VERIFIED,alExAnDeR.MARTinez@gmAIL.Com,9889894912,"1727 Main St, Phoenix, AZ 85004",Phoenix,AZ,85004,United States
C-1145,Emma Lopez,2003-03-15,PENDING,emma.lopez@icloud.com,846-291-4479,"233 Maple Ave, Los Angeles, CA 90012",Los Angeles,CA,90012,United States
C-1146,William Martin,12/06/1969,vERified,william.martin1097@outlook.com,+1 276 345 2849,"4490 Park Ln, Charlotte, NC 28202",Charlotte,NC,28202,United States
C-1147,Alexander Gonzalez,1970-07-17,VERIFIED,alexander.gonzalez@icloud.com,5598866497,"1200 2nd Ave, Columbus, OH 43215",Columbus,OH,43215,United States
C-1148,Harper Martinez,1978-08-07,VERIFIED,harper.martinez1062@hotmail.com,333-563-6957,"4132 Cedar Blvd, Miami, FL 33131",Miami,FL,33131,United States
C-1149,Elijah Davis,1969-11-16,VERIFIED, elijah.davis7730@outlook.com  ,(578) 440-5617,"1810 Park Ln, Cincinnati, OH 45202",Cincinnati,OH,45202,United States
C-1150,Ava Brown,01/07/1998,VERIFIED,ava.brown5547@icloud.com,+1 427 695 4536,"8608 Main St, Seattle, WA 98104",Seattle,WA,98104,United States
C-1151,Emma Miller,06/15/1962,VERIFIED,eMMa.millEr5919@gMAil.cOM,6604221588,"3148 Maple Ave, Houston, TX 77002",Houston,TX,77002,United States
C-1152,oLIveR gOnZaLEz,10/26/1969,VERIFIED,oliver.gonzalez3@yahoo.com,+1 821 665 8783,"1984 Maple Ave, New York, NY 10036",New York,NY,10036,United States
C-1153,James Taylor,2007-02-28,VERIFIED,james.taylor9342@icloud.com,(962) 475-7680,"1715 Main St, Phoenix, AZ 85004",Phoenix,AZ,85004,United States
C-1154,William Jones,1961-07-31,VERIFIED,william.jones@outlook.com,+1 277 806 5150,"4198 Broadway, Columbus, OH 43215",Columbus,OH,43215,United States
C-1155,Amelia Rodriguez,08/02/1961,VERIFIED,amelia.rodriguez@outlook.com,384-676-6312,"3403 Elm St, Miami, FL 33131",Miami,FL,33131,United States
C-1156,Lucas Lopez,04/08/1987,VERIFIED,lucas.lopez@gmail.com,+1 861 279 8693,"5837 Cedar Blvd, Minneapolis, MN 55415",Minneapolis,MN,55415,United States
C-1157,William Thomas,07/31/1956,VERIFIED,william.thomas@yahoo.com,4015785929,"7463 Broadway, Atlanta, GA 30303",Atlanta,GA,30303,United States
C-1158,Benjamin Smith, 2002-12-26 , PENDING ,benjamin.smith@outlook.com,(224) 316-2351,"5504 2nd Ave, Detroit, MI 48226",Detroit,MI,48226,United States
C-1159,Isabella Thomas,03/12/1978,BLOCKED,isabella.thomas5385@outlook.com,392-819-1839,"4845 Main St, Pittsburgh, PA 15222",Pittsburgh,PA,15222,United States
C-1160,Charlotte Brown,08/05/2007,VERIFIED,charlotte.brown@icloud.com,+1 796 420 2767,"6948 Elm St, Los Angeles, CA 90012",Los Angeles,CA,90012,United States
C-1161,Liam Davis,02/09/1957,VERIFIED,liam.davis1017@outlook.com,+1 920 933 6073,"921 Washington Ave, Minneapolis, MN 55415",Minneapolis,MN,55415,United States
